Rk,2018-19 Salary,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG,WS,OBPM,DBPM,BPM,VORP,All-NBA
1,5455236,Alex Abrines,SG,24,OKC,75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,2.2,-0.5,-1.7,-2.2,-0.1,0
2,24157304,Steven Adams,C,24,OKC,76,76,32.7,5.9,9.4,0.629,0,0,0,5.9,9.3,0.631,0.629,2.1,3.8,0.559,5.1,4,9,1.2,1.2,1,1.7,2.8,13.9,9.7,2.2,1.1,3.3,3.3,0
3,685341,Cole Aldrich,C,29,MIN,21,0,2.3,0.2,0.7,0.333,0,0,0,0.2,0.7,0.333,0.333,0.1,0.3,0.333,0.1,0.6,0.7,0.1,0.1,0,0,0.5,0.6,0,-7,0.1,-6.9,-0.1,0
4,22347015,LaMarcus Aldridge,C,32,SAS,75,75,33.5,9.2,18,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2,0.6,1.2,1.5,2.1,23.1,10.9,3,0.3,3.3,3.3,5
5,6957105,Al-Farouq Aminu,PF,27,POR,69,67,30,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.432,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2,9.3,4.2,-0.8,1.9,1.1,1.6,0
6,8641000,Kyle Anderson,SF,24,SAS,74,67,26.7,3.1,5.9,0.527,0.3,0.8,0.333,2.9,5.1,0.556,0.549,1.4,2,0.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,6.2,-0.3,4.3,4.1,3,0
7,20421546,Ryan Anderson,PF,29,HOU,66,50,26.1,3.1,7.3,0.431,2,5.1,0.386,1.2,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5,0.9,0.4,0.3,0.6,1.9,9.3,4.8,1,-0.8,0.2,1,0
8,1378242,Ike Anigbogu,C,19,IND,11,0,2.7,0.4,0.8,0.444,0,0,0,0.4,0.8,0.444,0.444,0.5,0.5,0.833,0.5,0.4,0.8,0,0.1,0.3,0.2,0.1,1.2,0.1,-4.1,-1.2,-5.4,0,0
9,25534253,Carmelo Anthony,PF,33,OKC,78,78,32.1,6.1,15,0.404,2.2,6.1,0.357,3.9,8.9,0.437,0.476,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,3.7,-1.9,-1.9,-3.8,-1.1,3
10,1349383,Ryan Arcidiacono,PG,23,CHI,24,0,12.7,0.7,1.7,0.415,0.4,1.3,0.29,0.3,0.4,0.8,0.524,0.2,0.3,0.833,0,1,1,1.5,0.5,0,0.5,0.8,2,0.3,-3.3,-0.7,-4.1,-0.2,0
11,15000000,Trevor Ariza,SF,32,HOU,67,67,33.9,4,9.7,0.412,2.5,6.9,0.368,1.5,2.8,0.519,0.542,1.1,1.3,0.854,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2,11.7,5.3,0.8,0.7,1.5,2,0
12,7464912,Darrell Arthur,PF,29,DEN,19,1,7.4,1.2,2.5,0.468,0.4,1.2,0.348,0.7,1.3,0.583,0.553,0.1,0.2,0.667,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2.8,0,-3.5,-1,-4.5,-0.1,0
13,11286516,Omer Asik,C,31,TOT,18,0,10.1,0.5,1.2,0.409,0,0,0,0.5,1.2,0.409,0.409,0.2,0.7,0.308,0.5,2.1,2.6,0.2,0.1,0.2,0.5,1.1,1.2,-0.1,-8.1,0,-8.1,-0.3,0
14,7250000,D.J. Augustin,PG,30,ORL,75,36,23.5,3.3,7.2,0.452,1.5,3.6,0.419,1.7,3.6,0.485,0.557,2.2,2.5,0.868,0.4,1.7,2.1,3.8,0.7,0,1.6,1.3,10.2,4.1,1.5,-2.5,-0.9,0.5,0
15,1378242,Dwayne Bacon,SG,22,CHO,53,6,13.5,1.4,3.6,0.375,0.2,0.8,0.256,1.2,2.8,0.409,0.404,0.4,0.5,0.8,0.1,2.3,2.3,0.7,0.3,0,0.4,0.9,3.3,-0.1,-5.4,-0.3,-5.7,-0.7,0
16,4544400,Ron Baker,SG,24,NYK,29,1,13.3,0.7,2,0.339,0.4,1.1,0.333,0.3,0.9,0.346,0.432,0.7,0.9,0.769,0.2,0.9,1,1.6,0.9,0.2,0.6,1.1,2.4,0.5,-1.9,0.9,-1,0.1,0
17,1544951,Wade Baldwin,PG,21,POR,7,0,11.4,2,3,0.667,0.6,0.7,0.8,1.4,2.3,0.625,0.762,0.9,1.4,0.6,0.1,1,1.1,0.7,0.3,0.1,0.6,1.7,5.4,0.3,1.1,-1.1,0,0,0
18,3710850,J.J. Barea,PG,33,DAL,69,10,23.2,4.4,10,0.439,1.7,4.5,0.367,2.7,5.5,0.499,0.522,1.2,1.5,0.784,0.2,2.7,2.9,6.3,0.5,0,2.1,1.2,11.6,3.3,2.4,-2.3,0.1,0.8,0
